SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1092 Castlegate Ln,North Tustin,CA,92705,1350000,4,2.5,NTS - North Tustin,2629,11790,1970,18,514,,Active,March-17-2019 01:00 PM,March-17-2019 04:00 PM,http://www.redfin.com/CA/Santa-Ana/1092-Castlegate-Ln-92705/home/4761218,CRMLS,OC19039193,N,Y,33.7591117,-117.7992919
MLS Listing,,Single Family Residential,634 Aja Pl,Dayton,NV,89403-3020,229900,3,2.0,Mark Twain,1152,14374,2005,18,200,,Active,,,http://www.redfin.com/NV/Dayton/634-Aja-Pl-89403/home/108692465,NNRMLS,190002124,N,Y,39.306113,-119.5420245
MLS Listing,,Condo/Co-op,4724 Kester Ave #301,Sherman Oaks,CA,91403,629000,3,2.0,SO - Sherman Oaks,1320,28705,2009,18,477,372,Active,,,http://www.redfin.com/CA/Sherman-Oaks/4724-Kester-Ave-91403/unit-301/home/4816017,CRMLS,BB19039585,N,Y,34.1564145,-118.4568175
MLS Listing,,Single Family Residential,5248 Lafayette St,Ventura,CA,93003,625000,4,2.0,Ventura,1570,6969,1960,18,398,,Active,,,http://www.redfin.com/CA/Ventura/5248-Lafayette-St-93003/home/4408047,SBMLS,19-557,N,Y,34.2703781,-119.2236559
MLS Listing,,Single Family Residential,3458 Heartland Ave,Simi Valley,CA,93065,799900,4,3.0,SVC - Central Simi,2907,6091,2006,18,275,190,Active,,,http://www.redfin.com/CA/Simi-Valley/3458-Heartland-Ave-93065/home/4743076,CRMLS,BB19039507,N,Y,34.2974421,-118.7605887
MLS Listing,,Single Family Residential,807 Valencia Ct,El Dorado Hills,CA,95762,659000,4,3.5,El Dorado Hills,2891,6839,2015,19,,129,Active,,,http://www.redfin.com/CA/El-Dorado-Hills/807-Valencia-Ct-95762/home/22247173,MetroList,19009401,N,Y,38.618916,-121.043711
MLS Listing,,Condo/Co-op,45 Abrazo Aisle #166,Irvine,CA,92614,470000,2,2.0,WP - Westpark,871,1000,1987,19,540,292,Active,,,http://www.redfin.com/CA/Irvine/45-Abrazo-Aisle-92614/unit-166/home/5588082,CRMLS,OC19035303,N,Y,33.6853274,-117.8284151
MLS Listing,,Single Family Residential,2871 Round Dr,El Sereno,CA,90032,779000,3,3.5,621 - El Sereno,1932,5732,2007,19,403,,Active,March-17-2019 01:00 PM,March-17-2019 04:00 PM,http://www.redfin.com/CA/Los-Angeles/2871-Round-Dr-90032/home/21925509,CRMLS,PF19039031,N,Y,34.0776519,-118.1711679
MLS Listing,,Condo/Co-op,888 7th St Unit LL-50,San Francisco,CA,94107,779000,1,1.5,Potrero Hill,685,,2007,19,1137,425,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-LL-50/home/17305867,San Francisco MLS,481363,N,Y,37.7703795,-122.4010623
MLS Listing,,Condo/Co-op,838 Pine Ave #406,Long Beach,CA,90813,359000,1,1.0,"4 - Downtown Area, Alamitos Beach",740,30361,1998,19,485,292,Active,,,http://www.redfin.com/CA/Long-Beach/838-Pine-Ave-90813/unit-406/home/8151215,CRMLS,PW19036922,N,Y,33.7773713,-118.1920121
MLS Listing,,Single Family Residential,3437 Nouveau Way,Rancho Cordova,CA,95670,420000,3,2.5,Ranch Cordova/Gold River,1953,4164,2006,19,,,Active,,,http://www.redfin.com/CA/Gold-River/3437-Nouveau-Way-95670/home/19059653,MetroList,19010239,N,Y,38.5760875,-121.2831426
MLS Listing,,Condo/Co-op,24325 El Pilar #9,Laguna Niguel,CA,92677,399900,2,2.0,LNLAK - Lake Area,956,1100,1980,19,418,258,Active,,,http://www.redfin.com/CA/Laguna-Niguel/24325-el-Pilar-92677/unit-9/home/5650290,CRMLS,OC19037018,N,Y,33.5693155,-117.7063426
MLS Listing,,Condo/Co-op,383 S Marengo Ave #102,Pasadena,CA,91101,1075000,3,2.5,647 - Pasadena (SW),1660,38844,2017,19,648,440,Active,March-17-2019 01:00 PM,March-17-2019 04:00 PM,http://www.redfin.com/CA/Pasadena/383-S-Marengo-Ave-91101/unit-102/home/160503929,CRMLS,PF19038914,N,Y,34.1391528,-118.1460949
MLS Listing,,Townhouse,11513 Ghiberti Way,Porter Ranch,CA,91326,569900,2,3.0,PORA - Porter Ranch,1122,131919,2004,19,508,207,Active,,,http://www.redfin.com/CA/Northridge/11513-Ghiberti-Way-91326/unit-307/home/8130949,CRMLS,BB19038835,N,Y,34.280688,-118.5722244
MLS Listing,,Townhouse,2133 Dublin Ln #1,Diamond Bar,CA,91765,599000,4,2.5,616 - Diamond Bar,2104,1000749,1989,19,285,380,Active,,,http://www.redfin.com/CA/Diamond-Bar/2133-Dublin-Ln-91765/unit-1/home/8063249,CRMLS,PF19038850,N,Y,33.9863347,-117.823376
MLS Listing,,Condo/Co-op,42 Salton #54,Irvine,CA,92602,650000,2,2.0,NK - Northpark,1462,,2002,19,445,250,Active,,,http://www.redfin.com/CA/Irvine/42-Salton-92602/unit-54/home/5917245,CRMLS,OC19038212,N,Y,33.7173586,-117.7767313
MLS Listing,,Single Family Residential,3195 Newcastle Rd,Newcastle,CA,95658,879000,4,2.0,Newcastle/Zip 95658,2736,191664,1940,19,,,Active,,,http://www.redfin.com/CA/Newcastle/3195-Newcastle-Rd-95658/home/19563175,MetroList,19009006,N,Y,38.8351472,-121.1094991
MLS Listing,,Condo/Co-op,62 Full Moon,Irvine,CA,92618,585000,2,2.0,PS - Portola Springs,1239,,2010,20,472,324,Active,,,http://www.redfin.com/CA/Irvine/62-Full-Moon-92618/home/40102641,CRMLS,OC19037907,N,Y,33.695344,-117.7187228
MLS Listing,,Single Family Residential,242 N Olympia Way,Orange,CA,92869,699000,4,2.25,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1836,7100,1962,20,381,,Active,,,http://www.redfin.com/CA/Orange/242-N-Olympia-Way-92869/home/3412975,CRMLS,OC19038372,N,Y,33.7904276,-117.8162098
MLS Listing,,Single Family Residential,10430 Gianna Ct,Stockton,CA,95209,383000,3,2.0,far Northwest Stockton,1843,5049,2014,20,,,Active,,,http://www.redfin.com/CA/Stockton/10430-Gianna-Ct-95209/home/22465145,MetroList,19010146,N,Y,38.0508517,-121.3205417
MLS Listing,,Single Family Residential,1488 N Riverside Dr,Palm Springs,CA,92264,789000,3,2.0,Palm Springs South End,1952,10019,1959,20,404,,Active,,,http://www.redfin.com/CA/Palm-Springs/1488-N-Riverside-Dr-92264/home/5693979,PALM,19-435800PS,N,Y,33.8110326,-116.5301966
MLS Listing,,Single Family Residential,15 Zandra Pl,Novato,CA,94945,1275000,4,3.0,Novato,3078,16344,2016,20,414,84,Active,,,http://www.redfin.com/CA/Novato/15-Zandra-Pl-94945/home/22387597,BAREIS,21903477,N,Y,38.111521,-122.554645
MLS Listing,,Single Family Residential,2528 N Via Artis Ave,Los Angeles,CA,90039,995000,3,3.0,671 - Silver Lake,2107,3440,2013,21,472,300,Active,,,http://www.redfin.com/CA/Los-Angeles/2528-N-Via-Artis-Ave-90039/home/51585136,CRMLS,BB19035687,N,Y,34.0978139,-118.2509032
MLS Listing,,Single Family Residential,3519 Marmion Way,Los Angeles,CA,90065,1499000,9,6.0,C42 - Downtown L.A.,1797,8263,1910,23,834,,Active,,,http://www.redfin.com/CA/Los-Angeles/3519-Marmion-Way-90065/home/7069827,CRMLS,CV19036169,N,Y,34.087494,-118.213929
MLS Listing,,Single Family Residential,720 Holbertson Ct,Simi Valley,CA,93065,799000,5,3.0,SWR - Simi Wood Ranch,3153,7056,1991,24,253,113,Active,,,http://www.redfin.com/CA/Simi-Valley/720-Holbertson-Ct-93065/home/4598226,CRMLS,BB19035783,N,Y,34.2340497,-118.8159552
MLS Listing,,Townhouse,1126 Jewett Dr,Fullerton,CA,92833,550000,3,2.0,83 - Fullerton,1777,,2003,24,310,408,Active,,,http://www.redfin.com/CA/Fullerton/1126-Jewett-Dr-92833/home/5921807,CRMLS,OC19035325,N,Y,33.8820627,-117.9649958
MLS Listing,,Single Family Residential,10107 Nemaha Cir,Riverside,CA,92503,439888,4,2.0,252 - Riverside,1676,7841,1979,24,262,,Active,,,http://www.redfin.com/CA/Riverside/10107-Nemaha-Ct-92503/home/5004174,CRMLS,IV19034743,N,Y,33.9055511,-117.4509816
MLS Listing,,Single Family Residential,6323 Wolfe St,Lakewood,CA,90713,592500,3,2.0,"22 - Lakewood Estates, Lakewood Manor",1176,6106,1954,24,504,,Active,March-16-2019 01:00 PM,March-16-2019 04:00 PM,http://www.redfin.com/CA/Lakewood/6323-Wolfe-St-90713/home/7555449,CRMLS,PW19026249,N,Y,33.857519,-118.1092732
MLS Listing,,Single Family Residential,1000 Revelle Dr,Dixon,CA,95620,659000,5,3.5,Dixon,3824,7026,2003,24,172,,Active,,,http://www.redfin.com/CA/Dixon/1000-Revelle-Dr-95620/home/2621140,BAREIS,21901617,N,Y,38.4332815,-121.8245449
MLS Listing,,Single Family Residential,34 Scharff Ave,SAN JOSE,CA,95116,899999,3,2.5,SAN JOSE,1739,3650,2000,24,518,115,Active,,,http://www.redfin.com/CA/San-Jose/34-Scharff-Ave-95116/home/1306671,MLSListings,ML81739087,N,Y,37.3569778,-121.844274
MLS Listing,,Single Family Residential,38090 Chris Dr,Cathedral City,CA,92234,479000,3,2.0,Cathedral City South,1600,7405,1965,25,299,,Active,,,http://www.redfin.com/CA/Cathedral-City/38090-Chris-Dr-92234/home/6100105,PALM,19-434764PS,N,Y,33.7717267,-116.471138
MLS Listing,,Condo/Co-op,152 Desert West Dr,Rancho Mirage,CA,92270,399000,3,3.0,Rancho Mirage,2922,4792,1977,25,137,750,Active,,,http://www.redfin.com/CA/Rancho-Mirage/152-W-Desert-Dr-92270/home/3048099,PALM,19-434758PS,N,Y,33.78883,-116.43965
MLS Listing,,Single Family Residential,19362 Fisher Ln,North Tustin,CA,92705,2444888,6,5.0,NTS - North Tustin,5609,11326,2018,25,436,,Active,,,http://www.redfin.com/CA/Santa-Ana/19362-Fisher-Ln-92705/home/5854787,CRMLS,OC19034353,N,Y,33.776975,-117.7952218
MLS Listing,,Single Family Residential,31780 Sierra Del Sol,Thousand Palms,CA,92276,430000,5,3.0,Thousand Palms,2347,7405,2004,25,183,,Active,,,http://www.redfin.com/CA/Thousand-Palms/31780-Sierra-Del-Sol-92276/home/6015073,PALM,19-434732PS,N,Y,33.817863,-116.3879191
MLS Listing,,Single Family Residential,6 Channel Ct,Rancho Mirage,CA,92270,710000,5,4.5,Rancho Mirage,3332,12632,2002,25,213,290,Active,,,http://www.redfin.com/CA/Rancho-Mirage/6-Channel-Ct-92270/home/6382521,PALM,19-434658PS,N,Y,33.790505,-116.4073051
